_step,mean_eps_reward,run_name,seed,agent,opponent,total-steps,normalize_obs,num-parallel-envs
5337,-17.167,drawn-sweep-2,10,sac,weak,200000,True,8
5347,-17.155,drawn-sweep-2,10,sac,weak,200000,True,8
5349,-17.155,drawn-sweep-2,10,sac,weak,200000,True,8
5361,-17.155,drawn-sweep-2,10,sac,weak,200000,True,8
5370,-17.206,drawn-sweep-2,10,sac,weak,200000,True,8
5389,-17.22,drawn-sweep-2,10,sac,weak,200000,True,8
5391,-17.239,drawn-sweep-2,10,sac,weak,200000,True,8
5397,-17.239,drawn-sweep-2,10,sac,weak,200000,True,8
5420,-17.255,drawn-sweep-2,10,sac,weak,200000,True,8
5439,-17.255,drawn-sweep-2,10,sac,weak,200000,True,8
5474,-17.212,drawn-sweep-2,10,sac,weak,200000,True,8
5484,-17.212,drawn-sweep-2,10,sac,weak,200000,True,8
5521,-17.212,drawn-sweep-2,10,sac,weak,200000,True,8
5545,-17.2,drawn-sweep-2,10,sac,weak,200000,True,8
5571,-17.249,drawn-sweep-2,10,sac,weak,200000,True,8
5582,-17.249,drawn-sweep-2,10,sac,weak,200000,True,8
5594,-17.25,drawn-sweep-2,10,sac,weak,200000,True,8
5597,-17.25,drawn-sweep-2,10,sac,weak,200000,True,8
5605,-17.25,drawn-sweep-2,10,sac,weak,200000,True,8
5645,-17.335,drawn-sweep-2,10,sac,weak,200000,True,8
5654,-17.313,drawn-sweep-2,10,sac,weak,200000,True,8
5662,-17.313,drawn-sweep-2,10,sac,weak,200000,True,8
5715,-17.296,drawn-sweep-2,10,sac,weak,200000,True,8
5742,-17.279,drawn-sweep-2,10,sac,weak,200000,True,8
5756,-17.279,drawn-sweep-2,10,sac,weak,200000,True,8
5770,-17.237,drawn-sweep-2,10,sac,weak,200000,True,8
5774,-17.237,drawn-sweep-2,10,sac,weak,200000,True,8
5779,-17.237,drawn-sweep-2,10,sac,weak,200000,True,8
5818,-17.154,drawn-sweep-2,10,sac,weak,200000,True,8
5825,-17.154,drawn-sweep-2,10,sac,weak,200000,True,8
5848,-17.134,drawn-sweep-2,10,sac,weak,200000,True,8
5905,-17.083,drawn-sweep-2,10,sac,weak,200000,True,8
5910,-17.063,drawn-sweep-2,10,sac,weak,200000,True,8
5938,-17.049,drawn-sweep-2,10,sac,weak,200000,True,8
5948,-17.049,drawn-sweep-2,10,sac,weak,200000,True,8
5957,-17.03,drawn-sweep-2,10,sac,weak,200000,True,8
5973,-16.991,drawn-sweep-2,10,sac,weak,200000,True,8
6008,-16.961,drawn-sweep-2,10,sac,weak,200000,True,8
6024,-16.962,drawn-sweep-2,10,sac,weak,200000,True,8
6027,-16.962,drawn-sweep-2,10,sac,weak,200000,True,8
6077,-16.944,drawn-sweep-2,10,sac,weak,200000,True,8
6088,-16.944,drawn-sweep-2,10,sac,weak,200000,True,8
6090,-16.944,drawn-sweep-2,10,sac,weak,200000,True,8
6126,-16.944,drawn-sweep-2,10,sac,weak,200000,True,8
6140,-16.944,drawn-sweep-2,10,sac,weak,200000,True,8
6197,-16.905,drawn-sweep-2,10,sac,weak,200000,True,8
6209,-16.977,drawn-sweep-2,10,sac,weak,200000,True,8
6222,-17.049,drawn-sweep-2,10,sac,weak,200000,True,8
6233,-17.049,drawn-sweep-2,10,sac,weak,200000,True,8
6244,-17.068,drawn-sweep-2,10,sac,weak,200000,True,8
6298,-17.064,drawn-sweep-2,10,sac,weak,200000,True,8
6313,-17.03,drawn-sweep-2,10,sac,weak,200000,True,8
6319,-17.011,drawn-sweep-2,10,sac,weak,200000,True,8
6323,-17.011,drawn-sweep-2,10,sac,weak,200000,True,8
6335,-17.011,drawn-sweep-2,10,sac,weak,200000,True,8
6352,-16.996,drawn-sweep-2,10,sac,weak,200000,True,8
6358,-16.996,drawn-sweep-2,10,sac,weak,200000,True,8
6371,-16.933,drawn-sweep-2,10,sac,weak,200000,True,8
6388,-16.933,drawn-sweep-2,10,sac,weak,200000,True,8
6441,-16.99,drawn-sweep-2,10,sac,weak,200000,True,8
6443,-16.99,drawn-sweep-2,10,sac,weak,200000,True,8
6448,-16.99,drawn-sweep-2,10,sac,weak,200000,True,8
6456,-16.99,drawn-sweep-2,10,sac,weak,200000,True,8
6485,-17.059,drawn-sweep-2,10,sac,weak,200000,True,8
6496,-17.059,drawn-sweep-2,10,sac,weak,200000,True,8
6535,-17.002,drawn-sweep-2,10,sac,weak,200000,True,8
6552,-17.002,drawn-sweep-2,10,sac,weak,200000,True,8
6553,-17.047,drawn-sweep-2,10,sac,weak,200000,True,8
6566,-17.047,drawn-sweep-2,10,sac,weak,200000,True,8
6604,-17.054,drawn-sweep-2,10,sac,weak,200000,True,8
6628,-17.016,drawn-sweep-2,10,sac,weak,200000,True,8
6631,-17.016,drawn-sweep-2,10,sac,weak,200000,True,8
6645,-17.016,drawn-sweep-2,10,sac,weak,200000,True,8
6660,-16.982,drawn-sweep-2,10,sac,weak,200000,True,8
6674,-16.982,drawn-sweep-2,10,sac,weak,200000,True,8
6677,-16.982,drawn-sweep-2,10,sac,weak,200000,True,8
6692,-16.982,drawn-sweep-2,10,sac,weak,200000,True,8
6693,-16.982,drawn-sweep-2,10,sac,weak,200000,True,8
6696,-16.97,drawn-sweep-2,10,sac,weak,200000,True,8
6701,-16.97,drawn-sweep-2,10,sac,weak,200000,True,8
6743,-16.97,drawn-sweep-2,10,sac,weak,200000,True,8
6750,-16.97,drawn-sweep-2,10,sac,weak,200000,True,8
6760,-16.961,drawn-sweep-2,10,sac,weak,200000,True,8
6764,-16.961,drawn-sweep-2,10,sac,weak,200000,True,8
6783,-16.961,drawn-sweep-2,10,sac,weak,200000,True,8
6827,-16.955,drawn-sweep-2,10,sac,weak,200000,True,8
6829,-16.955,drawn-sweep-2,10,sac,weak,200000,True,8
6887,-16.919,drawn-sweep-2,10,sac,weak,200000,True,8
6945,-16.885,drawn-sweep-2,10,sac,weak,200000,True,8
6956,-16.87,drawn-sweep-2,10,sac,weak,200000,True,8
6974,-16.87,drawn-sweep-2,10,sac,weak,200000,True,8
7005,-16.901,drawn-sweep-2,10,sac,weak,200000,True,8
7008,-16.901,drawn-sweep-2,10,sac,weak,200000,True,8
7011,-16.901,drawn-sweep-2,10,sac,weak,200000,True,8
7057,-16.838,drawn-sweep-2,10,sac,weak,200000,True,8
7062,-16.835,drawn-sweep-2,10,sac,weak,200000,True,8
7065,-16.835,drawn-sweep-2,10,sac,weak,200000,True,8
7078,-16.835,drawn-sweep-2,10,sac,weak,200000,True,8
7113,-16.864,drawn-sweep-2,10,sac,weak,200000,True,8
7163,-16.813,drawn-sweep-2,10,sac,weak,200000,True,8
7201,-16.812,drawn-sweep-2,10,sac,weak,200000,True,8
7213,-16.795,drawn-sweep-2,10,sac,weak,200000,True,8
7239,-16.688,drawn-sweep-2,10,sac,weak,200000,True,8
7240,-16.688,drawn-sweep-2,10,sac,weak,200000,True,8
7249,-16.676,drawn-sweep-2,10,sac,weak,200000,True,8
7276,-16.612,drawn-sweep-2,10,sac,weak,200000,True,8
7300,-16.612,drawn-sweep-2,10,sac,weak,200000,True,8
7302,-16.612,drawn-sweep-2,10,sac,weak,200000,True,8
7350,-16.633,drawn-sweep-2,10,sac,weak,200000,True,8
7358,-16.633,drawn-sweep-2,10,sac,weak,200000,True,8
7374,-16.674,drawn-sweep-2,10,sac,weak,200000,True,8
7391,-16.665,drawn-sweep-2,10,sac,weak,200000,True,8
7432,-16.607,drawn-sweep-2,10,sac,weak,200000,True,8
7442,-16.607,drawn-sweep-2,10,sac,weak,200000,True,8
