_step,mean_eps_reward,run_name,seed,agent,opponent,pink_noise,total-steps,num-parallel-envs
4610,-17.302,vibrant-sweep-1,3,sac,weak,True,250000,8
4632,-17.297,vibrant-sweep-1,3,sac,weak,True,250000,8
4649,-17.191,vibrant-sweep-1,3,sac,weak,True,250000,8
4652,-17.191,vibrant-sweep-1,3,sac,weak,True,250000,8
4667,-17.166,vibrant-sweep-1,3,sac,weak,True,250000,8
4673,-17.166,vibrant-sweep-1,3,sac,weak,True,250000,8
4736,-17.32,vibrant-sweep-1,3,sac,weak,True,250000,8
4891,-17.326,vibrant-sweep-1,3,sac,weak,True,250000,8
4936,-17.296,vibrant-sweep-1,3,sac,weak,True,250000,8
5005,-17.316,vibrant-sweep-1,3,sac,weak,True,250000,8
5036,-17.321,vibrant-sweep-1,3,sac,weak,True,250000,8
5039,-17.321,vibrant-sweep-1,3,sac,weak,True,250000,8
5042,-17.321,vibrant-sweep-1,3,sac,weak,True,250000,8
5077,-17.356,vibrant-sweep-1,3,sac,weak,True,250000,8
5141,-17.277,vibrant-sweep-1,3,sac,weak,True,250000,8
5165,-17.262,vibrant-sweep-1,3,sac,weak,True,250000,8
5169,-17.262,vibrant-sweep-1,3,sac,weak,True,250000,8
5219,-17.219,vibrant-sweep-1,3,sac,weak,True,250000,8
5249,-17.219,vibrant-sweep-1,3,sac,weak,True,250000,8
5267,-17.214,vibrant-sweep-1,3,sac,weak,True,250000,8
5295,-17.283,vibrant-sweep-1,3,sac,weak,True,250000,8
5314,-17.26,vibrant-sweep-1,3,sac,weak,True,250000,8
5328,-17.26,vibrant-sweep-1,3,sac,weak,True,250000,8
5337,-17.313,vibrant-sweep-1,3,sac,weak,True,250000,8
5347,-17.313,vibrant-sweep-1,3,sac,weak,True,250000,8
5349,-17.313,vibrant-sweep-1,3,sac,weak,True,250000,8
5361,-17.366,vibrant-sweep-1,3,sac,weak,True,250000,8
5370,-17.366,vibrant-sweep-1,3,sac,weak,True,250000,8
5389,-17.366,vibrant-sweep-1,3,sac,weak,True,250000,8
5391,-17.327,vibrant-sweep-1,3,sac,weak,True,250000,8
5397,-17.327,vibrant-sweep-1,3,sac,weak,True,250000,8
5420,-17.327,vibrant-sweep-1,3,sac,weak,True,250000,8
5439,-17.327,vibrant-sweep-1,3,sac,weak,True,250000,8
5484,-17.356,vibrant-sweep-1,3,sac,weak,True,250000,8
5571,-17.331,vibrant-sweep-1,3,sac,weak,True,250000,8
5582,-17.331,vibrant-sweep-1,3,sac,weak,True,250000,8
5594,-17.31,vibrant-sweep-1,3,sac,weak,True,250000,8
5597,-17.31,vibrant-sweep-1,3,sac,weak,True,250000,8
5605,-17.31,vibrant-sweep-1,3,sac,weak,True,250000,8
5662,-17.456,vibrant-sweep-1,3,sac,weak,True,250000,8
5715,-17.537,vibrant-sweep-1,3,sac,weak,True,250000,8
5742,-17.675,vibrant-sweep-1,3,sac,weak,True,250000,8
5770,-17.656,vibrant-sweep-1,3,sac,weak,True,250000,8
5774,-17.634,vibrant-sweep-1,3,sac,weak,True,250000,8
5825,-17.72,vibrant-sweep-1,3,sac,weak,True,250000,8
5848,-17.753,vibrant-sweep-1,3,sac,weak,True,250000,8
5938,-17.617,vibrant-sweep-1,3,sac,weak,True,250000,8
5948,-17.638,vibrant-sweep-1,3,sac,weak,True,250000,8
5957,-17.638,vibrant-sweep-1,3,sac,weak,True,250000,8
5973,-17.638,vibrant-sweep-1,3,sac,weak,True,250000,8
6008,-17.617,vibrant-sweep-1,3,sac,weak,True,250000,8
6024,-17.672,vibrant-sweep-1,3,sac,weak,True,250000,8
6088,-17.579,vibrant-sweep-1,3,sac,weak,True,250000,8
6090,-17.579,vibrant-sweep-1,3,sac,weak,True,250000,8
6126,-17.612,vibrant-sweep-1,3,sac,weak,True,250000,8
6197,-17.612,vibrant-sweep-1,3,sac,weak,True,250000,8
