_step,mean_eps_reward,run_name,seed,agent,opponent,pink_noise,total-steps,num-parallel-envs
6535,-16.001,northern-sweep-1,0,sac,strong,True,250000,8
6553,-15.99,northern-sweep-1,0,sac,strong,True,250000,8
6604,-16.042,northern-sweep-1,0,sac,strong,True,250000,8
6628,-16.042,northern-sweep-1,0,sac,strong,True,250000,8
6645,-16.003,northern-sweep-1,0,sac,strong,True,250000,8
6660,-16.028,northern-sweep-1,0,sac,strong,True,250000,8
6674,-16.028,northern-sweep-1,0,sac,strong,True,250000,8
6677,-16.028,northern-sweep-1,0,sac,strong,True,250000,8
6692,-16.083,northern-sweep-1,0,sac,strong,True,250000,8
6693,-16.083,northern-sweep-1,0,sac,strong,True,250000,8
6696,-16.083,northern-sweep-1,0,sac,strong,True,250000,8
6743,-16.159,northern-sweep-1,0,sac,strong,True,250000,8
6760,-16.159,northern-sweep-1,0,sac,strong,True,250000,8
6764,-16.146,northern-sweep-1,0,sac,strong,True,250000,8
6783,-16.241,northern-sweep-1,0,sac,strong,True,250000,8
6827,-16.242,northern-sweep-1,0,sac,strong,True,250000,8
6829,-16.242,northern-sweep-1,0,sac,strong,True,250000,8
6887,-16.261,northern-sweep-1,0,sac,strong,True,250000,8
6945,-16.208,northern-sweep-1,0,sac,strong,True,250000,8
6956,-16.208,northern-sweep-1,0,sac,strong,True,250000,8
6974,-16.208,northern-sweep-1,0,sac,strong,True,250000,8
7005,-16.144,northern-sweep-1,0,sac,strong,True,250000,8
7057,-16.045,northern-sweep-1,0,sac,strong,True,250000,8
7062,-16.045,northern-sweep-1,0,sac,strong,True,250000,8
7065,-16.033,northern-sweep-1,0,sac,strong,True,250000,8
7078,-16.159,northern-sweep-1,0,sac,strong,True,250000,8
7113,-16.142,northern-sweep-1,0,sac,strong,True,250000,8
7201,-16.1,northern-sweep-1,0,sac,strong,True,250000,8
7213,-16.1,northern-sweep-1,0,sac,strong,True,250000,8
7239,-16.1,northern-sweep-1,0,sac,strong,True,250000,8
7249,-16.1,northern-sweep-1,0,sac,strong,True,250000,8
7276,-16.108,northern-sweep-1,0,sac,strong,True,250000,8
7300,-16.117,northern-sweep-1,0,sac,strong,True,250000,8
7302,-16.143,northern-sweep-1,0,sac,strong,True,250000,8
7350,-16.212,northern-sweep-1,0,sac,strong,True,250000,8
7358,-16.277,northern-sweep-1,0,sac,strong,True,250000,8
7374,-16.264,northern-sweep-1,0,sac,strong,True,250000,8
7391,-16.264,northern-sweep-1,0,sac,strong,True,250000,8
7432,-16.187,northern-sweep-1,0,sac,strong,True,250000,8
