_step,mean_eps_reward,run_name,seed,agent,opponent,pink_noise,total-steps,quantile_critic,num-parallel-envs
5349,-16.984,generous-sweep-1,12,sac,strong,True,250000,True,8
5361,-17.047,generous-sweep-1,12,sac,strong,True,250000,True,8
5370,-17.047,generous-sweep-1,12,sac,strong,True,250000,True,8
5389,-17.029,generous-sweep-1,12,sac,strong,True,250000,True,8
5391,-17.029,generous-sweep-1,12,sac,strong,True,250000,True,8
5397,-17.029,generous-sweep-1,12,sac,strong,True,250000,True,8
5420,-17.029,generous-sweep-1,12,sac,strong,True,250000,True,8
5439,-17.095,generous-sweep-1,12,sac,strong,True,250000,True,8
5484,-17.075,generous-sweep-1,12,sac,strong,True,250000,True,8
5571,-17.152,generous-sweep-1,12,sac,strong,True,250000,True,8
5582,-17.132,generous-sweep-1,12,sac,strong,True,250000,True,8
5594,-17.119,generous-sweep-1,12,sac,strong,True,250000,True,8
5597,-17.119,generous-sweep-1,12,sac,strong,True,250000,True,8
5605,-17.119,generous-sweep-1,12,sac,strong,True,250000,True,8
5662,-17.182,generous-sweep-1,12,sac,strong,True,250000,True,8
5715,-17.143,generous-sweep-1,12,sac,strong,True,250000,True,8
5742,-17.202,generous-sweep-1,12,sac,strong,True,250000,True,8
5770,-17.202,generous-sweep-1,12,sac,strong,True,250000,True,8
5774,-17.202,generous-sweep-1,12,sac,strong,True,250000,True,8
5825,-17.28,generous-sweep-1,12,sac,strong,True,250000,True,8
5848,-17.37,generous-sweep-1,12,sac,strong,True,250000,True,8
5938,-17.395,generous-sweep-1,12,sac,strong,True,250000,True,8
5948,-17.454,generous-sweep-1,12,sac,strong,True,250000,True,8
5957,-17.454,generous-sweep-1,12,sac,strong,True,250000,True,8
5973,-17.321,generous-sweep-1,12,sac,strong,True,250000,True,8
6008,-17.304,generous-sweep-1,12,sac,strong,True,250000,True,8
6024,-17.304,generous-sweep-1,12,sac,strong,True,250000,True,8
6088,-17.263,generous-sweep-1,12,sac,strong,True,250000,True,8
6090,-17.263,generous-sweep-1,12,sac,strong,True,250000,True,8
6126,-17.319,generous-sweep-1,12,sac,strong,True,250000,True,8
6197,-17.304,generous-sweep-1,12,sac,strong,True,250000,True,8
6222,-17.301,generous-sweep-1,12,sac,strong,True,250000,True,8
6233,-17.382,generous-sweep-1,12,sac,strong,True,250000,True,8
6244,-17.449,generous-sweep-1,12,sac,strong,True,250000,True,8
6298,-17.431,generous-sweep-1,12,sac,strong,True,250000,True,8
6313,-17.431,generous-sweep-1,12,sac,strong,True,250000,True,8
6319,-17.431,generous-sweep-1,12,sac,strong,True,250000,True,8
6323,-17.431,generous-sweep-1,12,sac,strong,True,250000,True,8
6335,-17.431,generous-sweep-1,12,sac,strong,True,250000,True,8
6358,-17.431,generous-sweep-1,12,sac,strong,True,250000,True,8
6371,-17.431,generous-sweep-1,12,sac,strong,True,250000,True,8
6441,-17.535,generous-sweep-1,12,sac,strong,True,250000,True,8
6443,-17.515,generous-sweep-1,12,sac,strong,True,250000,True,8
6448,-17.515,generous-sweep-1,12,sac,strong,True,250000,True,8
6456,-17.461,generous-sweep-1,12,sac,strong,True,250000,True,8
6485,-17.492,generous-sweep-1,12,sac,strong,True,250000,True,8
6496,-17.492,generous-sweep-1,12,sac,strong,True,250000,True,8
6535,-17.547,generous-sweep-1,12,sac,strong,True,250000,True,8
6553,-17.527,generous-sweep-1,12,sac,strong,True,250000,True,8
6604,-17.527,generous-sweep-1,12,sac,strong,True,250000,True,8
6628,-17.456,generous-sweep-1,12,sac,strong,True,250000,True,8
6645,-17.427,generous-sweep-1,12,sac,strong,True,250000,True,8
6660,-17.418,generous-sweep-1,12,sac,strong,True,250000,True,8
6674,-17.399,generous-sweep-1,12,sac,strong,True,250000,True,8
6677,-17.399,generous-sweep-1,12,sac,strong,True,250000,True,8
6692,-17.381,generous-sweep-1,12,sac,strong,True,250000,True,8
6693,-17.381,generous-sweep-1,12,sac,strong,True,250000,True,8
6696,-17.399,generous-sweep-1,12,sac,strong,True,250000,True,8
6743,-17.435,generous-sweep-1,12,sac,strong,True,250000,True,8
6760,-17.435,generous-sweep-1,12,sac,strong,True,250000,True,8
6764,-17.417,generous-sweep-1,12,sac,strong,True,250000,True,8
6783,-17.455,generous-sweep-1,12,sac,strong,True,250000,True,8
6827,-17.574,generous-sweep-1,12,sac,strong,True,250000,True,8
6829,-17.574,generous-sweep-1,12,sac,strong,True,250000,True,8
6887,-17.64,generous-sweep-1,12,sac,strong,True,250000,True,8
6945,-17.6,generous-sweep-1,12,sac,strong,True,250000,True,8
6956,-17.6,generous-sweep-1,12,sac,strong,True,250000,True,8
6974,-17.659,generous-sweep-1,12,sac,strong,True,250000,True,8
7005,-17.64,generous-sweep-1,12,sac,strong,True,250000,True,8
7057,-17.624,generous-sweep-1,12,sac,strong,True,250000,True,8
7062,-17.624,generous-sweep-1,12,sac,strong,True,250000,True,8
7065,-17.624,generous-sweep-1,12,sac,strong,True,250000,True,8
7078,-17.636,generous-sweep-1,12,sac,strong,True,250000,True,8
7113,-17.611,generous-sweep-1,12,sac,strong,True,250000,True,8
7201,-17.652,generous-sweep-1,12,sac,strong,True,250000,True,8
7213,-17.652,generous-sweep-1,12,sac,strong,True,250000,True,8
7239,-17.625,generous-sweep-1,12,sac,strong,True,250000,True,8
7249,-17.609,generous-sweep-1,12,sac,strong,True,250000,True,8
7276,-17.594,generous-sweep-1,12,sac,strong,True,250000,True,8
7300,-17.617,generous-sweep-1,12,sac,strong,True,250000,True,8
7302,-17.617,generous-sweep-1,12,sac,strong,True,250000,True,8
7350,-17.621,generous-sweep-1,12,sac,strong,True,250000,True,8
7358,-17.621,generous-sweep-1,12,sac,strong,True,250000,True,8
7374,-17.621,generous-sweep-1,12,sac,strong,True,250000,True,8
7391,-17.677,generous-sweep-1,12,sac,strong,True,250000,True,8
7432,-17.659,generous-sweep-1,12,sac,strong,True,250000,True,8
7442,-17.659,generous-sweep-1,12,sac,strong,True,250000,True,8
7499,-17.701,generous-sweep-1,12,sac,strong,True,250000,True,8
7567,-17.756,generous-sweep-1,12,sac,strong,True,250000,True,8
7601,-17.672,generous-sweep-1,12,sac,strong,True,250000,True,8
7615,-17.672,generous-sweep-1,12,sac,strong,True,250000,True,8
7622,-17.672,generous-sweep-1,12,sac,strong,True,250000,True,8
7662,-17.664,generous-sweep-1,12,sac,strong,True,250000,True,8
7668,-17.664,generous-sweep-1,12,sac,strong,True,250000,True,8
7671,-17.712,generous-sweep-1,12,sac,strong,True,250000,True,8
7709,-17.692,generous-sweep-1,12,sac,strong,True,250000,True,8
7711,-17.692,generous-sweep-1,12,sac,strong,True,250000,True,8
7718,-17.692,generous-sweep-1,12,sac,strong,True,250000,True,8
7777,-17.687,generous-sweep-1,12,sac,strong,True,250000,True,8
7795,-17.683,generous-sweep-1,12,sac,strong,True,250000,True,8
7844,-17.715,generous-sweep-1,12,sac,strong,True,250000,True,8
7872,-17.719,generous-sweep-1,12,sac,strong,True,250000,True,8
7902,-17.688,generous-sweep-1,12,sac,strong,True,250000,True,8
7909,-17.688,generous-sweep-1,12,sac,strong,True,250000,True,8
7918,-17.688,generous-sweep-1,12,sac,strong,True,250000,True,8
7968,-17.732,generous-sweep-1,12,sac,strong,True,250000,True,8
7993,-17.715,generous-sweep-1,12,sac,strong,True,250000,True,8
7995,-17.715,generous-sweep-1,12,sac,strong,True,250000,True,8
8019,-17.715,generous-sweep-1,12,sac,strong,True,250000,True,8
8051,-17.774,generous-sweep-1,12,sac,strong,True,250000,True,8
8091,-17.725,generous-sweep-1,12,sac,strong,True,250000,True,8
8152,-17.829,generous-sweep-1,12,sac,strong,True,250000,True,8
8167,-17.814,generous-sweep-1,12,sac,strong,True,250000,True,8
8210,-17.764,generous-sweep-1,12,sac,strong,True,250000,True,8
8232,-17.809,generous-sweep-1,12,sac,strong,True,250000,True,8
8236,-17.809,generous-sweep-1,12,sac,strong,True,250000,True,8
8241,-17.809,generous-sweep-1,12,sac,strong,True,250000,True,8
8261,-17.823,generous-sweep-1,12,sac,strong,True,250000,True,8
8285,-17.823,generous-sweep-1,12,sac,strong,True,250000,True,8
8288,-17.823,generous-sweep-1,12,sac,strong,True,250000,True,8
8308,-17.761,generous-sweep-1,12,sac,strong,True,250000,True,8
8319,-17.76,generous-sweep-1,12,sac,strong,True,250000,True,8
8331,-17.792,generous-sweep-1,12,sac,strong,True,250000,True,8
8332,-17.792,generous-sweep-1,12,sac,strong,True,250000,True,8
8335,-17.792,generous-sweep-1,12,sac,strong,True,250000,True,8
8337,-17.792,generous-sweep-1,12,sac,strong,True,250000,True,8
8373,-17.734,generous-sweep-1,12,sac,strong,True,250000,True,8
8414,-17.799,generous-sweep-1,12,sac,strong,True,250000,True,8
8426,-17.786,generous-sweep-1,12,sac,strong,True,250000,True,8
8468,-17.811,generous-sweep-1,12,sac,strong,True,250000,True,8
8475,-17.811,generous-sweep-1,12,sac,strong,True,250000,True,8
8545,-17.79,generous-sweep-1,12,sac,strong,True,250000,True,8
8570,-17.839,generous-sweep-1,12,sac,strong,True,250000,True,8
8622,-17.803,generous-sweep-1,12,sac,strong,True,250000,True,8
8662,-17.759,generous-sweep-1,12,sac,strong,True,250000,True,8
8826,-17.61,generous-sweep-1,12,sac,strong,True,250000,True,8
8835,-17.61,generous-sweep-1,12,sac,strong,True,250000,True,8
8862,-17.596,generous-sweep-1,12,sac,strong,True,250000,True,8
8907,-17.666,generous-sweep-1,12,sac,strong,True,250000,True,8
8954,-17.686,generous-sweep-1,12,sac,strong,True,250000,True,8
8983,-17.672,generous-sweep-1,12,sac,strong,True,250000,True,8
8984,-17.672,generous-sweep-1,12,sac,strong,True,250000,True,8
9032,-17.716,generous-sweep-1,12,sac,strong,True,250000,True,8
9069,-17.732,generous-sweep-1,12,sac,strong,True,250000,True,8
9142,-17.695,generous-sweep-1,12,sac,strong,True,250000,True,8
9167,-17.695,generous-sweep-1,12,sac,strong,True,250000,True,8
9168,-17.695,generous-sweep-1,12,sac,strong,True,250000,True,8
9198,-17.647,generous-sweep-1,12,sac,strong,True,250000,True,8
9211,-17.634,generous-sweep-1,12,sac,strong,True,250000,True,8
9244,-17.669,generous-sweep-1,12,sac,strong,True,250000,True,8
9304,-17.679,generous-sweep-1,12,sac,strong,True,250000,True,8
9333,-17.667,generous-sweep-1,12,sac,strong,True,250000,True,8
9338,-17.667,generous-sweep-1,12,sac,strong,True,250000,True,8
9347,-17.653,generous-sweep-1,12,sac,strong,True,250000,True,8
9349,-17.653,generous-sweep-1,12,sac,strong,True,250000,True,8
9395,-17.68,generous-sweep-1,12,sac,strong,True,250000,True,8
9428,-17.629,generous-sweep-1,12,sac,strong,True,250000,True,8
9439,-17.62,generous-sweep-1,12,sac,strong,True,250000,True,8
9448,-17.642,generous-sweep-1,12,sac,strong,True,250000,True,8
9471,-17.654,generous-sweep-1,12,sac,strong,True,250000,True,8
9503,-17.641,generous-sweep-1,12,sac,strong,True,250000,True,8
9533,-17.672,generous-sweep-1,12,sac,strong,True,250000,True,8
9590,-17.663,generous-sweep-1,12,sac,strong,True,250000,True,8
9606,-17.663,generous-sweep-1,12,sac,strong,True,250000,True,8
9613,-17.671,generous-sweep-1,12,sac,strong,True,250000,True,8
9617,-17.662,generous-sweep-1,12,sac,strong,True,250000,True,8
